SKU;Total Cost;Stockout Rate;Alpha Service Level;Beta Service Level;Average Inventory Level;Stock Coverage (days)
BWIM68WJM;11726,76;0,0;100,0;100,0;269,62;14,85
BWVL00BWL;4535,56;0,0;100,0;100,0;760,67;102,46
BXEG08XWA;3615,54;21,51;94,95;78,49;685,12;50,56
BZIB63IFG;7492,05;0,0;100,0;100,0;683,93;28,8
CAIJ02DXV;25799,25;0,0;100,0;100,0;4297,45;78,01
CAOT92ECU;28262,73;0,0;100,0;100,0;4335,87;45,47
CBTL80HNX;110507,48;0,0;100,0;100,0;333,75;9,9
CDNX62QVY;131944,04;5,1;98,99;94,9;13399,84;15,16
CFSF52FDS;5708,38;0,0;100,0;100,0;467,95;28,51
CGME36BZF;13560,2;0,0;100,0;100,0;467,28;22,62
CGNN82OHK;4179,09;0,0;100,0;100,0;652,67;51,53
CGXK58LSV;6841,08;0,0;100,0;100,0;965,93;145,44
CGXU62CFR;601168,24;0,0;100,0;100,0;113645,08;8,5
CHHE55HDP;58390,49;0,0;100,0;100,0;3236,19;30,7
CHNM68VZF;38674,84;0,45;98,99;99,55;641,46;9,88
CHPD62HCA;220736,27;0,0;100,0;100,0;18959,29;9,02
CHRF16PET;1593,86;0,0;100,0;100,0;156,5;18,67
CIDP66VOX;10356,19;0,0;100,0;100,0;728,18;123,87
CIUV27OFQ;71199,9;0,0;100,0;100,0;1137,1;7,41
CJDD29FZZ;4725,09;0,0;100,0;100,0;920,12;187,43
CJQD68FGI;4295,82;0,0;100,0;100,0;415,97;95,99
CKYC93HJE;37450,89;3,26;99,49;96,74;555,11;40,77
CMNC99EEN;170239,16;0,0;100,0;100,0;26263,27;18,42
CMQF44EQT;3952,91;0,0;100,0;100,0;727,76;96,06
CNLX46BDJ;51459,99;0,0;100,0;100,0;2127,41;11,49
COPM90NQS;65,77;0,0;100,0;100,0;1709,59;75,39
CPAP94WOL;20891,6;0,0;100,0;100,0;814,68;18,45
CPQC93HQC;67708,49;0,0;100,0;100,0;853,45;10,09
CQMB14NXU;4308,8;0,0;100,0;100,0;710,55;287,71
CQUZ39ZBK;57871,34;0,0;100,0;100,0;1425,52;26,11
CQWA43VUS;84018,12;0,0;100,0;100,0;1754,48;12,32
CRPT93HWZ;77237,39;0,0;100,0;100,0;2152,85;9,13
CRQL91UBX;8598,72;0,0;100,0;100,0;814,42;60,85
CSPR32GGQ;48466,53;0,0;100,0;100,0;602,18;8,19
CUDJ16ZPV;52187,1;0,0;100,0;100,0;995,08;5,66
CUQW96QKG;77987,59;0,83;99,49;99,17;412,33;9,64
CVTY97UTZ;11901,84;0,0;100,0;100,0;291,67;30,57
CWFV18CLS;26547,2;0,0;100,0;100,0;1120,3;10,54
CWZN42MUK;7900,28;6,47;98,99;93,53;3217,64;22,64
CXUJ33EOP;542303,61;0,0;100,0;100,0;44810,49;13,07
CYEY37KJI;132543,63;0,0;100,0;100,0;899,37;6,52
CYIL54NKH;99,06;0,0;100,0;100,0;448,69;157,52
CYJA63XLN;102576,26;1,45;99,49;98,55;1421,33;22,62
CYOC41WYB;39742,31;0,0;100,0;100,0;1870,33;20,81
CYUC22ZBQ;60162,71;0,0;100,0;100,0;594,3;9,0
CZIS04ACI;259519,49;0,36;99,49;99,64;9855,67;8,72
CZKW28LKO;16453,29;0,0;100,0;100,0;1163,56;14,45
CZLZ12MWM;62793,1;3,49;98,99;96,51;584,9;7,4
DAWL45NTI;17136,5;0,0;100,0;100,0;446,34;230,15
DAZV00ZDO;6207,15;0,0;100,0;100,0;455,61;70,59
DCCI03FJF;26726,81;0,0;100,0;100,0;4309,09;131,67
