SKU;Total Cost;Stockout Rate;Alpha Service Level;Beta Service Level;Average Inventory Level;Stock Coverage (days)
IAVE29ZKQ;19636,72;0,0;100,0;100,0;3676,4;102,64
IAZX92GXT;295940,21;0,0;100,0;100,0;2932,52;6,01
ICIQ56AHA;55810,7;0,0;100,0;100,0;1835,76;12,56
ICQZ39GIQ;192832,83;0,0;100,0;100,0;8822,75;11,32
IDIW64NXE;148481,56;2,57;98,99;97,43;15042,03;10,86
IDNJ93PNO;4686,54;0,0;100,0;100,0;194,32;69,2
IEXW92LIG;6328,37;0,0;100,0;100,0;437,47;113,97
IEZW96UJQ;44400,27;0,0;100,0;100,0;368,88;18,12
IFAF73ACY;2844,21;0,0;100,0;100,0;88,36;15,51
IFMM15HOG;87567,57;0,0;100,0;100,0;1000,62;10,77
IFUM81APG;244476,75;0,0;100,0;100,0;5735,49;17,36
IGDR16QDJ;111264,61;0,0;100,0;100,0;6354,37;8,84
IGNZ10AFU;100916,29;0,0;100,0;100,0;2421,52;18,53
IHER07ULN;340951,44;1,05;98,99;98,95;25515,22;16,58
IHWW65EJN;30809,94;2,97;99,49;97,03;2620,87;30,84
IIVY41ZQT;0,34;0,0;100,0;100,0;342,2;46,09
IIWK53ARM;1582,97;0,0;100,0;100,0;244,57;84,07
IJHW44CLJ;2,33;0,0;100,0;100,0;55,31;273,8
IJJV67YIT;12672,04;0,0;100,0;100,0;467,42;28,46
IJVO28CYP;139467,85;0,62;98,99;99,38;6401,44;7,5
IKCX64IZL;16722,45;0,0;100,0;100,0;676,71;20,84
IKWF51IYN;7325,61;0,0;100,0;100,0;699,3;25,44
ILCV57TKU;15004,23;0,0;100,0;100,0;524,65;21,37
ILSB97ANL;10601,7;0,0;100,0;100,0;584,85;23,57
IMKD58PCC;36317,98;0,0;100,0;100,0;647,76;18,58
IMWD26LTG;25635,69;0,0;100,0;100,0;894,67;8,0
INFH77ZPC;78541,23;0,0;100,0;100,0;944,98;8,31
INOC35AVI;28265,89;0,0;100,0;100,0;237,8;8,67
INXF14GAZ;4713,42;0,0;100,0;100,0;841,43;179,53
IOJD33BIL;12469,02;0,0;100,0;100,0;996,84;38,18
IOJN59NCJ;15961,1;0,0;100,0;100,0;926,29;28,7
IOUT43PTU;58529,44;0,0;100,0;100,0;934,05;10,56
IPRI75HMR;139736,17;0,0;100,0;100,0;3059,37;8,94
IPSC35CXR;43967,22;0,0;100,0;100,0;1597,82;15,64
IPSX84OJB;14177,2;0,88;99,49;99,12;232,73;20,34
IPYX96FNK;6445,39;0,0;100,0;100,0;826,55;156,16
IQAL30OWP;29079,25;0,0;100,0;100,0;1314,75;23,51
IQYF35ALA;6441,21;0,0;100,0;100,0;159,47;15,85
IRGW30AKZ;2578,3;0,0;100,0;100,0;154,61;38,65
IRPP40BNN;13867,14;0,0;100,0;100,0;804,75;60,26
IRUU49IDE;4724,41;0,0;100,0;100,0;2444,09;896,17
IRVF75ULJ;8952,71;3,64;98,48;96,36;3200,39;53,39
ISHM74IDS;70572,02;5,84;97,98;94,16;2668,46;16,4
ISOD32CNV;264442,82;0,0;100,0;100,0;15762,99;6,36
IUQL98ATE;6745,39;42,97;96,97;57,03;298,22;31,09
IVSG78ZEI;14726,25;0,0;100,0;100,0;1115,37;43,41
IWNQ31NOY;7723,12;0,0;100,0;100,0;513,39;32,52
IWOJ74IEC;3535,77;0,0;100,0;100,0;1000,12;114,6
IWUD97LHN;3281,18;0,0;100,0;100,0;446,61;184,22
IWUU46ORH;1646,37;0,0;100,0;100,0;145,54;19,21
IXZW52LCZ;27257,03;22,86;98,99;77,14;2104,67;75,25
IYTI61EBI;124621,12;0,0;100,0;100,0;3237,72;10,7
IZBP30PWV;22192,67;0,0;100,0;100,0;584,57;26,52
IZNB93SPC;539378,55;0,0;100,0;100,0;4939,86;6,96
IZVB26MLS;12235,31;0,0;100,0;100,0;235,21;39,6
JABK79WLP;1105,64;0,0;100,0;100,0;2546,52;61,64
JBVG41CPM;26,82;0,0;100,0;100,0;1675,15;230,33
JDPI18ZQV;7667,74;0,0;100,0;100,0;390,97;21,29
JDPV09HTZ;76168,95;0,0;100,0;100,0;1279,48;7,99
JFDA82FJE;58795,53;0,0;100,0;100,0;9046,61;18,05
JGVB34FGM;77860,11;0,0;100,0;100,0;1218,93;26,69
JHCM63OPB;123979,64;0,0;100,0;100,0;9625,8;9,97
JIUT73XUD;25321,89;0,0;100,0;100,0;464,0;50,7
JIWO41RQV;1964,78;0,0;100,0;100,0;1546,08;106,48
JIWT95KYU;32865,38;0,0;100,0;100,0;2287,08;25,24
JJCS63IKB;23337,33;0,0;100,0;100,0;526,39;12,61
JJON89KAQ;41898,79;0,0;100,0;100,0;2068,39;21,79
JKHG14ENE;110779,01;2,36;98,99;97,64;1678,85;7,66
JKPW72ZWO;8573,69;0,0;100,0;100,0;814,47;29,76
JLDB00FDM;63203,91;0,0;100,0;100,0;5096,61;14,19
JLWL67UWA;6509,18;1,56;98,99;98,44;163,32;14,81
JMGP54LAK;13411,92;0,0;100,0;100,0;357,25;404,2
JMYA00NAU;17898,6;0,0;100,0;100,0;482,7;9,84
JNBP94JIQ;356719,91;0,0;100,0;100,0;4001,77;7,81
JPAO23QSY;13958,98;0,0;100,0;100,0;799,85;29,41
JPDD96AYM;182,28;0,0;100,0;100,0;4522,83;410,79
JPHL26ELP;200818,77;0,0;100,0;100,0;18956,12;12,34
JPYL14EWN;332764,61;0,0;100,0;100,0;63030,14;12,29
JRAL21USQ;7618,83;0,0;100,0;100,0;205,27;31,85
JRAV08VOG;94257,05;1,43;98,99;98,57;3289,26;15,19
JRPY91SOX;36680,81;0,0;100,0;100,0;939,13;11,21
JSMG06JUP;37399,97;0,0;100,0;100,0;1154,24;16,66
JTEC14SVF;73951,72;0,0;100,0;100,0;4172,36;13,07
JTSC86GSN;2292,38;0,0;100,0;100,0;31,72;15,62
JULB23LYV;62501,7;0,0;100,0;100,0;593,7;9,46
JUMZ90SON;42255,22;0,0;100,0;100,0;359,06;36,95
JURP55TNB;9571,03;0,0;100,0;100,0;525,1;71,7
JVGI69CNI;29039,73;3,04;97,47;96,96;2523,22;20,61
JWPF06IPT;62515,21;0,0;100,0;100,0;1115,21;11,32
JWSO29LLY;63360,55;0,0;100,0;100,0;2419,79;10,48
JXPT74III;13003,02;0,0;100,0;100,0;1007,74;40,36
JYIF49VCY;13096,27;0,0;100,0;100,0;361,97;15,18
JYOR52AAI;984,57;0,0;100,0;100,0;14,84;12,89
JZCG80FPW;1,98;0,0;100,0;100,0;40,93;289,43
JZMP55IIC;8131,39;0,0;100,0;100,0;1808,24;532,79
JZQH67YJC;743,66;0,0;100,0;100,0;20,72;18,65
KAIF05ZMR;41588,82;0,0;100,0;100,0;715,02;12,77
KATM71XZV;186113,77;0,0;100,0;100,0;1371,0;96,6
KBRS15KBZ;44719,69;0,0;100,0;100,0;2481,16;48,22
KDNB35ESH;98705,36;3,74;98,48;96,26;2055,54;8,25
KDXN99RWW;21969,55;0,0;100,0;100,0;1228,85;72,24
KEAV69GXC;21811,55;9,84;96,97;90,16;464,61;24,34
KEDH40XKI;34060,27;0,0;100,0;100,0;633,22;13,18
KEGV36DAK;7183,88;0,0;100,0;100,0;660,1;40,89
KEOG38LJB;36510,72;0,0;100,0;100,0;688,58;26,61
KFJA08WMR;30906,64;0,0;100,0;100,0;1214,79;11,93
KGGU92NCK;7883,46;0,0;100,0;100,0;2177,98;113,78
KGQJ86RGE;39448,54;0,0;100,0;100,0;3118,79;82,34
KIKI22HLV;327435,68;0,0;100,0;100,0;73812,84;19,82
KISK75HHE;61478,05;0,0;100,0;100,0;1230,17;10,94
KIZY80SQZ;11,43;0,0;100,0;100,0;306,54;296,07
KJHN86DUW;1021546,61;0,0;100,0;100,0;63145,34;14,99
KJVB98UOX;61585,76;0,0;100,0;100,0;1176,34;17,58
KJVN79FCJ;110150,51;0,0;100,0;100,0;1946,3;8,9
KJXR06JYP;477,67;0,0;100,0;100,0;1145,77;63,12
KKPK50SLM;5613,44;0,0;100,0;100,0;457,73;43,78
KKVY55EYF;62142,02;0,0;100,0;100,0;1361,31;10,57
KLLB71ZBA;42468,44;0,0;100,0;100,0;943,49;9,8
KLNM69UBY;6,97;0,0;100,0;100,0;169,49;279,67
KLPY86FFO;16294,33;0,0;100,0;100,0;368,29;19,01
KMNU34MNI;22783,64;0,0;100,0;100,0;1266,91;32,51
KNVU41HAK;2594,79;0,0;100,0;100,0;229,32;35,03
KOAG82LNN;25422,89;0,0;100,0;100,0;975,33;17,88
KOBC79USM;8603,45;0,0;100,0;100,0;519,12;13,85
KOPU25RNN;391363,74;0,0;100,0;100,0;757,03;5,24
KPCQ58KZG;176563,36;0,0;100,0;100,0;2606,71;6,8
KPLW81ZAQ;4051,47;0,0;100,0;100,0;560,4;45,48
KQLF81MCL;66,29;0,0;100,0;100,0;1389,39;159,02
KQMJ38JHG;3127,78;0,0;100,0;100,0;567,58;261,35
KRVL55ZWU;9838,15;0,0;100,0;100,0;457,91;19,35
KSSV50UIL;292441,19;0,0;100,0;100,0;7056,96;11,37
KTDU42EAN;79354,54;0,0;100,0;100,0;5802,62;32,81
KUJY83GUW;479987,35;0,0;100,0;100,0;39520,17;19,91
KUVZ73GFW;29695,31;0,0;100,0;100,0;1282,82;15,12
KVWR17USS;28129,64;0,0;100,0;100,0;872,44;27,4
KWGR31INJ;13318,27;0,0;100,0;100,0;880,32;101,58
KWKD14XHF;45793,41;0,0;100,0;100,0;1753,51;7,59
KWRK89YPZ;9881,49;0,0;100,0;100,0;1648,38;116,15
KXAQ21HJS;16134705,32;0,0;100,0;100,0;792633,2;11,82
KXVU19DTS;6845,04;0,0;100,0;100,0;408,12;53,73
KXYH49BAN;583,41;14,42;98,99;85,58;160,48;152,77
KXZG43TEQ;7521,98;0,0;100,0;100,0;754,56;40,52
KYTD18KWX;12276,83;0,0;100,0;100,0;670,59;31,41
KYYY81SZH;929,22;0,0;100,0;100,0;180,19;59,46
KZPM90IOE;89869,0;0,0;100,0;100,0;1638,3;8,39
LANG05GLL;26444,92;0,0;100,0;100,0;1146,21;13,0
LAYU27DTV;45774,37;0,0;100,0;100,0;601,71;10,72
LBKZ83QGL;159056,22;0,0;100,0;100,0;2089,02;5,58
LBWV61MFS;17398,89;0,0;100,0;100,0;1155,37;48,1
LCHA32QRM;29725,64;0,0;100,0;100,0;685,98;20,12
LCMP16UWA;26985,36;0,0;100,0;100,0;394,33;12,02
LGNB38OKA;31464,96;0,0;100,0;100,0;323,6;28,9
LGVU73IOE;63545,83;0,0;100,0;100,0;948,9;7,17
LHGZ47ZKR;1627,74;0,0;100,0;100,0;160,12;23,48
LHHR13DYH;39812,26;21,29;96,46;78,71;257,61;9,93
LIDX01FCC;45348,32;0,0;100,0;100,0;227,79;7,72
LIQG52OVU;30111,36;0,0;100,0;100,0;352,34;8,99
LJEU84KLZ;7178,28;0,0;100,0;100,0;1067,07;16,93
LJFZ98YME;141858,55;0,0;100,0;100,0;22863,86;10,52
LKRI20AQZ;9615,33;0,0;100,0;100,0;762,82;123,4
LLQI41IEB;38757,72;7,48;98,99;92,52;5473,56;30,57
LLXD75ZBV;547841,85;1,05;98,99;98,95;11928,87;18,48
LLZB92AAC;11629,08;0,0;100,0;100,0;291,64;97,54
LMAC50HHC;20,82;0,0;100,0;100,0;5988,33;259,17
LNUO09VWB;15961,18;0,0;100,0;100,0;465,54;91,81
LNWJ49IMG;75233,24;0,0;100,0;100,0;910,32;19,06
LOZN87MWO;9677,54;0,0;100,0;100,0;693,16;56,9
LPIM15GYB;39567,89;0,0;100,0;100,0;2601,92;15,15
LQET50QZS;235898,21;2,02;98,48;97,98;32406,05;12,51
LQPM02FMR;13578,52;0,0;100,0;100,0;422,14;73,58
LRXD46HHJ;9014,48;0,0;100,0;100,0;718,11;62,86
LSFB10SHE;45603,18;1,21;99,49;98,79;4134,34;14,51
LSMK82MQK;4771,42;0,0;100,0;100,0;854,49;81,93
LSUN03GBQ;5821,59;0,0;100,0;100,0;235,94;199,64
LTYN44KDO;62237,55;0,0;100,0;100,0;2842,87;7,77
LUHW74HQL;20690,7;0,0;100,0;100,0;3168,04;20,33
LULZ04TCK;54540,1;0,0;100,0;100,0;4133,08;52,86
LVIE94LLN;7160,86;0,0;100,0;100,0;816,73;202,14
LXQH58ATM;23143,15;1,67;98,48;98,33;508,48;6,63
LYAF85GJO;14423,72;0,0;100,0;100,0;867,49;11,75
LYKH25DMM;164181,96;0,0;100,0;100,0;16626,57;22,94
LYVK73MWN;5928,98;0,0;100,0;100,0;507,48;34,82
LZYP73ZDE;12247,05;0,0;100,0;100,0;1030,84;59,47
MAAY06FLG;95313,25;0,91;99,49;99,09;4571,04;12,89
MAHC72OET;6205,88;0,0;100,0;100,0;682,36;224,06
MAYF53EST;289033,72;0,0;100,0;100,0;16177,73;7,67
MBRL60OFJ;3444,07;0,0;100,0;100,0;365,94;101,76
MBYU55EVN;59269,92;0,0;100,0;100,0;844,32;11,47
MCZW64IRZ;36079,75;3,78;98,48;96,22;442,45;9,51
MEJO06MVQ;7117,65;0,0;100,0;100,0;335,49;244,22
MEVM68SLX;20837,53;0,0;100,0;100,0;1407,9;31,61
MFVK62VMT;574021,79;0,0;100,0;100,0;14391,4;18,18
MGKX79APY;133699,87;0,0;100,0;100,0;974,23;9,58
MHBO06YHH;49972,24;0,0;100,0;100,0;876,34;19,54
MHLH51IJO;30793,39;0,0;100,0;100,0;2040,25;14,89
MIMJ13URY;45134,9;0,0;100,0;100,0;2554,51;15,69
MIOW11PHB;5241,67;0,0;100,0;100,0;1334,44;81,8
MIOZ07QEK;8375,55;0,0;100,0;100,0;622,07;49,67
MISB47RTN;5684,67;0,0;100,0;100,0;3777,88;45,61
MKDM97KXO;13761,78;0,0;100,0;100,0;474,31;17,88
MKEN94UKK;61174,02;0,0;100,0;100,0;1248,06;12,26
MKXI01ECP;34913,42;0,0;100,0;100,0;779,59;11,29
MKYB62KWD;6159,68;8,95;98,99;91,05;736,96;28,4
MLDY90UPK;7,69;0,0;100,0;100,0;2060,16;91,4
MLEA68ODH;66227,64;0,0;100,0;100,0;392,58;21,05
MLGU82ZFZ;34110,8;0,0;100,0;100,0;911,52;12,56
MMPI12KCY;53410,24;0,0;100,0;100,0;1370,79;10,11
MNCQ75VZR;63567,48;0,0;100,0;100,0;1759,16;13,77
MNFW77IYU;30336,05;2,41;98,48;97,59;2227,72;63,4
MNRH05XPC;163562,57;2,1;98,48;97,9;2193,36;11,79
MOAI77YMM;37932,15;0,0;100,0;100,0;901,94;10,44
MOGA21LTV;498185,77;0,0;100,0;100,0;37929,66;10,57
MOHW42CXR;112617,62;3,02;98,48;96,98;2251,49;9,96
MOZC48RPA;56693,08;0,0;100,0;100,0;544,08;5,54
MPGM56CTS;7190,03;0,0;100,0;100,0;1789,44;37,71
MPMW69CPO;21647,64;0,0;100,0;100,0;786,66;16,54
MPYY59YYQ;109512,63;0,0;100,0;100,0;13664,05;18,36
MRBB37NUI;9763,41;0,0;100,0;100,0;844,85;40,9
MRMB80NKX;101549,47;5,93;98,99;94,07;4526,4;78,14
MRNN94QXK;9451,46;0,0;100,0;100,0;509,99;12,42
MSBK28GYZ;10771,68;0,0;100,0;100,0;826,94;81,22
MSLK88FHT;31007,88;0,0;100,0;100,0;830,31;17,02
MSQY69JRS;34497,49;0,0;100,0;100,0;843,6;9,39
MTMV60ISB;110865,4;0,0;100,0;100,0;753,18;8,94
MTQU47IBB;32724,11;0,0;100,0;100,0;1215,9;15,66
MUQB05WBT;150137,74;0,0;100,0;100,0;6151,66;9,56
MWHY10BHE;2060,2;0,0;100,0;100,0;602,42;284,0
MWKH94BHD;29049,11;0,0;100,0;100,0;557,35;16,26
MWTY70MDV;120960,96;0,0;100,0;100,0;2022,9;8,8
MWVQ22ECM;29048,06;0,0;100,0;100,0;2225,86;21,76
MWYD62PDJ;13475,14;0,0;100,0;100,0;123,24;11,62
MXMM62OKY;22481,28;0,0;100,0;100,0;707,61;20,03
MXXW83CJH;335457,32;0,0;100,0;100,0;1626,19;10,41
MYDL83HLP;60944,39;0,0;100,0;100,0;482,9;36,92
MYWA59SUE;19224,44;0,0;100,0;100,0;1029,39;18,4
NARO61RJA;1341,89;0,0;100,0;100,0;66,81;29,79
NBCZ41AGI;466308,03;0,0;100,0;100,0;28155,57;8,53
NBUV33LMI;41596,54;8,0;98,48;92,0;3198,48;22,67
NCJS06QHU;466713,85;0,0;100,0;100,0;44354,41;14,26
NCLE79UWG;52813,64;0,0;100,0;100,0;2268,79;14,82
NDIF14AEF;31139,31;0,0;100,0;100,0;863,79;17,18
NDPV02QDG;9168,89;0,0;100,0;100,0;632,32;34,49
NEIE61DEC;80029,5;0,0;100,0;100,0;1109,07;9,58
NEOY93OUG;12386,88;0,0;100,0;100,0;384,34;18,14
NFFX69OGX;16866,55;0,0;100,0;100,0;508,88;24,79
NFMC41YMF;2659,62;0,0;100,0;100,0;398,22;57,98
NGCY45VZD;67796,84;0,0;100,0;100,0;740,24;18,89
NGDG05BJP;29303,62;0,0;100,0;100,0;712,24;9,28
NHHB37KVY;345260,13;0,0;100,0;100,0;58905,53;21,34
NHRU35IVR;81772,27;0,0;100,0;100,0;1378,38;10,22
NHUG86SLH;2315,16;0,0;100,0;100,0;474,7;108,78
NIHH69ZUD;0,78;100,0;99,49;0,0;0,93;0,77
NIKK25LMM;90158,58;0,0;100,0;100,0;614,32;8,83
NITU51JKU;41426,02;0,0;100,0;100,0;3201,54;13,97
NJRC95VRS;39255,21;0,0;100,0;100,0;814,36;10,11
NKER28VYI;5191,83;0,0;100,0;100,0;146,13;27,87
NKFF82VWO;9370,37;0,0;100,0;100,0;604,63;17,79
NKPY49FBU;23642,53;0,0;100,0;100,0;3857,27;163,19
NKTT36EWT;65488,33;0,0;100,0;100,0;7171,62;15,87
NKVG41SOL;124,47;0,0;100,0;100,0;17906,48;567,1
NLGF42EAP;28065,24;0,0;100,0;100,0;290,28;9,18
NLJX03TOS;5414,9;0,0;100,0;100,0;936,24;359,26
NLNH69GOS;23841,54;0,0;100,0;100,0;686,65;17,6
NLPZ29UNR;32815,59;0,0;100,0;100,0;1148,51;7,55
NMBK49AWK;12287,78;0,0;100,0;100,0;342,22;15,63
NMIJ45NVB;122676,79;0,0;100,0;100,0;3385,86;5,83
NMTQ54VSX;862,34;0,0;100,0;100,0;119,49;159,86
NMUJ11GLO;596442,45;0,0;100,0;100,0;1251,64;5,18
NNFA52OGB;15280,01;2,85;97,47;97,15;563,73;22,06
NNSZ64KZL;88607,56;5,52;98,48;94,48;6109,29;31,63
NNZC05SSP;91342,83;0,0;100,0;100,0;2363,03;10,18
NPTA45ZLH;357246,72;0,0;100,0;100,0;1666,86;10,28
NPZK34EXO;12623,11;0,0;100,0;100,0;1686,8;38,46
NQIU74UNR;27,01;0,0;100,0;100,0;1360,27;157,51
NQWD58ZEO;150547,7;0,0;100,0;100,0;1476,29;12,16
NRJJ85SMA;6497,78;0,0;100,0;100,0;460,06;51,29
NRTS61JMS;4506355,72;0,0;100,0;100,0;147472,27;66,95
NSAI04LSN;67309,02;0,0;100,0;100,0;952,24;9,64
NSEV58UMV;50182,25;0,0;100,0;100,0;2161,46;9,47
NSJX60UWP;4211,44;0,0;100,0;100,0;1054,52;596,56
NSOJ07IHM;85989,15;0,0;100,0;100,0;685,9;6,24
NSSK99QQC;6712,35;0,0;100,0;100,0;738,34;140,57
NSVJ69ESC;83413,53;0,0;100,0;100,0;963,62;8,81
NSVQ56AZP;4712,96;0,0;100,0;100,0;603,61;67,91
NVCV98FME;52635,43;22,86;96,97;77,14;1442,73;14,36
NVXN46JYS;242138,9;0,5;99,49;99,5;10655,4;34,83
NWWH86HLY;146625,55;0,0;100,0;100,0;3375,13;11,5
NXZZ07FXR;73441,25;0,0;100,0;100,0;1294,15;8,52
NYBT56WPU;18147,61;0,0;100,0;100,0;750,8;22,41
NYDJ17UUS;9997,45;0,0;100,0;100,0;698,42;51,45
NYSA66KDE;194736,73;0,0;100,0;100,0;610,34;11,55
NZHF31NTS;891,02;0,0;100,0;100,0;102,6;2031,4
OAWY81YIY;28433,13;0,0;100,0;100,0;357,07;12,99
OBVA40KRF;9,02;0,0;100,0;100,0;262,22;112,87
OCRR18LTC;159786,47;0,0;100,0;100,0;1777,57;6,64
ODFO56LOB;28,55;0,0;100,0;100,0;571,64;166,45
ODVZ52SIC;4150,73;0,0;100,0;100,0;235,92;39,12
OEDA87HTT;7084,5;0,0;100,0;100,0;250,01;19,6
OEGN51RLI;75793,47;0,0;100,0;100,0;2903,3;17,17
OELH53NFL;50689,38;0,0;100,0;100,0;435,97;13,55
OESV30XOR;38448,07;0,0;100,0;100,0;3987,45;46,59
OEUK21CZR;2220,57;2,16;99,49;97,84;241,93;25,85
OFEE62JBT;3696,75;0,0;100,0;100,0;539,49;213,64
OGDL64ICT;621,0;0,0;100,0;100,0;745,67;61,98
OHED19NYE;248253,24;0,0;100,0;100,0;2665,03;7,55
OHNH79XLK;21633,74;0,0;100,0;100,0;390,79;268,67
OISN26GXK;18,09;0,0;100,0;100,0;184,97;138,73
OJHC28XPG;38750,97;1,99;98,99;98,01;765,56;18,89
OJWH24BBU;26433,11;0,0;100,0;100,0;3943,17;23,52
OJZW75KMC;19313,08;0,0;100,0;100,0;484,41;10,0
OKLU34CEX;9624,51;0,0;100,0;100,0;869,39;65,58
OKQN07CAC;19537,62;0,0;100,0;100,0;492,82;27,61
OLEW18RSM;74635,42;0,0;100,0;100,0;1497,47;13,63
OLMS34VEG;35693,04;0,0;100,0;100,0;763,73;13,41
OMHX03GZF;68964,91;0,0;100,0;100,0;908,17;10,36
ONTU47FXX;14517,53;0,46;99,49;99,54;424,49;19,41
OPJD12KCE;43483,55;0,0;100,0;100,0;1133,43;18,43
OPPB50QWT;117260,71;0,0;100,0;100,0;1790,31;9,96
ORBJ39SFE;81798,65;0,0;100,0;100,0;986,83;9,49
OSFN08WSO;10120,64;0,0;100,0;100,0;250,12;28,03
OSHR27ZTV;87121,84;0,0;100,0;100,0;1207,86;6,93
OSJO75AUG;91215,97;0,0;100,0;100,0;5298,69;17,43
OTEQ39EOJ;24732,96;0,0;100,0;100,0;1730,58;19,27
OTUA56BXX;29,98;0,0;100,0;100,0;2648,97;144,73
OUBF41YMR;20472,34;0,0;100,0;100,0;720,79;13,27
OVJQ36TNG;21160,6;0,0;100,0;100,0;327,3;22,34
OWJX28OTG;15842,79;17,83;99,49;82,17;2701,53;301,86
OXEL15MCN;4542,24;0,0;100,0;100,0;190,85;21,62
OYTS04JYU;7141,02;0,0;100,0;100,0;758,79;63,77
OZGL58WPA;27622,17;0,0;100,0;100,0;4359,26;35,45
OZYM77AZU;27951,13;11,39;98,48;88,61;3051,83;14,48
PBWK76OIS;196605,19;0,0;100,0;100,0;3735,65;7,77
PCFE38WUG;207835,19;0,0;100,0;100,0;2859,22;9,5
PFGZ81LVL;64507,64;0,0;100,0;100,0;2462,4;9,7
PFJO30EEZ;65295,25;0,0;100,0;100,0;1284,47;10,95
PFNY82FSY;3181,09;0,0;100,0;100,0;1054,03;133,27
PFYW41KAU;12,32;0,0;100,0;100,0;249,8;142,13
PGRO19BGC;44618,13;0,0;100,0;100,0;678,73;21,54
PHAE44MFM;21680,21;0,0;100,0;100,0;992,8;26,55
PHBG16EOE;25764,27;0,0;100,0;100,0;4025,68;44,64
PHFU23MFN;57014,0;3,56;98,99;96,44;5444,47;18,24
PHFZ53NDI;31066,98;0,0;100,0;100,0;1221,71;9,81
PHGP07AIQ;203567,86;0,0;100,0;100,0;2389,37;7,38
PICV67AWX;11661,62;0,0;100,0;100,0;1870,56;44,68
PITW12VHT;123065,28;0,0;100,0;100,0;911,86;6,76
PIWA88MZG;107709,02;0,0;100,0;100,0;2676,05;8,46
PKEU98LWC;296280,65;2,77;98,99;97,23;4156,96;8,45
PKKZ70YGN;31700,91;9,07;97,98;90,93;2726,19;17,97
PLDL23FSN;34147,81;0,0;100,0;100,0;712,66;14,88
PLIB78VDF;146455,22;0,0;100,0;100,0;1419,92;9,16
PLPD73VVL;3672,18;0,0;100,0;100,0;531,36;54,23
PLRK54FAW;4901,48;0,0;100,0;100,0;471,95;34,91
PLSL66AFW;6389,19;0,0;100,0;100,0;1679,49;163,01
PLST62KKK;5802,57;0,0;100,0;100,0;184,04;54,23
PLWC05CAU;77617,74;0,0;100,0;100,0;447,09;28,59
PMGO30PTM;185518,33;0,0;100,0;100,0;1459,05;7,67
PMON32JXM;61302,84;0,0;100,0;100,0;1218,18;21,28
PNKG18VPQ;17832,29;0,0;100,0;100,0;327,14;9,59
PNUZ83MJA;65288,92;0,0;100,0;100,0;578,94;8,48
POAN18DMY;119915,45;0,0;100,0;100,0;2660,26;8,83
POEP14MFF;3883,35;1,17;99,49;98,83;218,55;25,31
PPCF38GNY;19639,1;0,13;99,49;99,87;1004,64;21,02
PPDD34VJC;65850,63;0,0;100,0;100,0;1092,87;8,17
PQDQ00TEB;2304,91;46,72;96,46;53,28;1275,76;267,59
PQLA64XZE;52845,76;0,0;100,0;100,0;2314,61;12,78
PQQM50KOX;30815,24;0,0;100,0;100,0;2115,89;19,36
PQZT34LLH;5123,14;0,0;100,0;100,0;432,94;54,91
PRBI09OKT;51593,82;0,0;100,0;100,0;1293,59;15,0
PSIY99BMN;44919,42;0,0;100,0;100,0;323,86;22,45
PSOV29XVY;49527,29;0,0;100,0;100,0;1463,58;12,96
PTEI12CTX;348935,45;0,0;100,0;100,0;20607,29;19,03
PTFI33KHS;11505,01;0,0;100,0;100,0;535,56;42,47
PTFM53ANG;41100,76;0,0;100,0;100,0;607,93;13,65
PWAS94WWG;127362,87;7,73;96,97;92,27;3917,22;15,92
PWMB67VQZ;205124,82;4,28;96,97;95,72;1749,37;8,76
PWTR98HXV;3965,92;0,0;100,0;100,0;383,6;60,86
PXAU54ENA;280163,96;0,0;100,0;100,0;17214,13;9,89
PYOM85JTL;42829,7;0,0;100,0;100,0;1669,8;11,23
PYQH69NNQ;149099,31;7,13;96,97;92,87;1476,78;12,0
PYQN27NUC;57064,42;0,0;100,0;100,0;711,31;11,07
PYWQ64UBD;268,8;0,0;100,0;100,0;67,85;146,02
PYYC89TAM;936,16;0,0;100,0;100,0;279,25;90,94
PZDY46SHA;3,98;0,0;100,0;100,0;84,36;99,43
PZII81LBV;17768,35;0,0;100,0;100,0;748,11;31,9
PZUX42PGO;44650,84;0,0;100,0;100,0;940,41;9,83
QAJK29OLX;254699,74;0,0;100,0;100,0;7139,11;19,82
QAJS91OHX;173824,68;0,0;100,0;100,0;11284,58;16,75
QAYE06JJN;76689,97;0,0;100,0;100,0;1041,8;7,65
QBHV23BFP;16407,24;0,0;100,0;100,0;793,86;23,51
QBRS61BFF;28274,53;0,0;100,0;100,0;1096,19;40,3
QBTT91ZHA;111298,14;0,0;100,0;100,0;2454,56;16,01
QCVO76KFL;33847,51;0,0;100,0;100,0;392,47;16,62
QDQA42RMJ;7582,73;0,0;100,0;100,0;83,59;41,9
QFBK33EBW;11649,52;0,0;100,0;100,0;548,64;28,18
QHGJ45TQJ;13287,53;0,0;100,0;100,0;596,93;36,43
QIZH02CFJ;3762,5;0,0;100,0;100,0;680,24;119,4
QJNY67PSH;31747,27;0,0;100,0;100,0;5202,62;41,07
QKYC71LXL;13116,46;0,0;100,0;100,0;550,16;42,29
QMFO05EAV;36398,64;0,0;100,0;100,0;558,99;9,4
QMJH05DXH;76827,79;0,0;100,0;100,0;1146,71;9,48
QNHR09IRJ;2684,25;0,0;100,0;100,0;738,36;427,47
QNIS08ATI;39759,65;0,0;100,0;100,0;941,71;17,55
QNVW66ZZO;4071,82;0,0;100,0;100,0;453,3;119,2
