Policy;Simulation;Stock Cost;Order Total Cost;Total Cost;Stock Out Rate (%);Alpha Service Level (%);Beta Service Level (%);Average Inventory Level;Stock Coverage (days);Total Demand;Total Stockout;Total SOH;Stockout Days;Total Days
Smin-Smax Policy;37;96025,14;123123330,08;123219355,22;0,43;99,68;99,57;5135,34;12,05;105252763,0;451585,0;1267946343,0;778;246906
Smin-Smax Policy;38;96861,94;123123330,08;123220192,02;0,5;99,71;99,5;5165,85;12,12;105252763,0;524834,0;1275478153,0;726;246906
Smin-Smax Policy;39;96273,63;123123330,08;123219603,71;0,47;99,71;99,53;5173,49;12,14;105252763,0;498663,0;1277365854,0;724;246906
Smin-Smax Policy;40;94412,62;123123330,08;123217742,7;0,38;99,71;99,62;5098,54;11,96;105252763,0;395774,0;1258860963,0;715;246906
Smin-Smax Policy;41;95100,28;123123330,08;123218430,36;0,44;99,7;99,56;5160,63;12,11;105252763,0;462867,0;1274190128,0;740;246906
Smin-Smax Policy;42;95642,01;123123330,08;123218972,09;0,45;99,7;99,55;5146,76;12,07;105252763,0;469512,0;1270765183,0;731;246906
Smin-Smax Policy;43;96043,81;123123330,08;123219373,89;0,49;99,69;99,51;5151,52;12,08;105252763,0;511108,0;1271940200,0;758;246906
Smin-Smax Policy;44;95543,3;123123330,08;123218873,38;0,46;99,71;99,54;5148,17;12,08;105252763,0;487153,0;1271113211,0;721;246906
Smin-Smax Policy;45;94500,51;123123330,08;123217830,59;0,39;99,71;99,61;5069,55;11,89;105252763,0;413458,0;1251703283,0;713;246906
Smin-Smax Policy;46;96278,79;123123330,08;123219608,87;0,45;99,7;99,55;5155,79;12,09;105252763,0;474669,0;1272995471,0;729;246906
Smin-Smax Policy;47;96581,43;123123330,08;123219911,51;0,48;99,71;99,52;5128,12;12,03;105252763,0;505325,0;1266162366,0;717;246906
Smin-Smax Policy;48;95398,28;123123330,08;123218728,36;0,51;99,69;99,49;5186,15;12,17;105252763,0;537508,0;1280492730,0;764;246906
Smin-Smax Policy;49;94819,3;123123330,08;123218149,38;0,41;99,71;99,59;5107,61;11,98;105252763,0;429260,0;1261099172,0;709;246906
Smin-Smax Policy;50;95253,12;123123330,08;123218583,2;0,38;99,7;99,62;5093,78;11,95;105252763,0;397078,0;1257685420,0;750;246906
Smin-Smax Policy;51;95955,18;123123330,08;123219285,26;0,36;99,69;99,64;5123,41;12,02;105252763,0;374203,0;1265000582,0;765;246906
Smin-Smax Policy;52;94531,98;123123330,08;123217862,06;0,46;99,7;99,54;5128,37;12,03;105252763,0;479829,0;1266225295,0;738;246906
Smin-Smax Policy;53;97140,65;123123330,08;123220470,73;0,43;99,71;99,57;5152,45;12,09;105252763,0;451779,0;1272170525,0;716;246906
Smin-Smax Policy;54;94600,86;123123330,08;123217930,94;0,34;99,7;99,66;5069,99;11,89;105252763,0;360641,0;1251811091,0;739;246906
Smin-Smax Policy;55;96233,84;123123330,08;123219563,92;0,38;99,7;99,62;5100,38;11,96;105252763,0;398909,0;1259315366,0;737;246906
Smin-Smax Policy;56;96556,57;123123330,08;123219886,65;0,43;99,69;99,57;5119,53;12,01;105252763,0;456234,0;1264043528,0;769;246906
Smin-Smax Policy;57;95252,56;123123330,08;123218582,64;0,44;99,69;99,56;5124,04;12,02;105252763,0;465203,0;1265157123,0;758;246906
Smin-Smax Policy;58;96434,25;123123330,08;123219764,33;0,46;99,68;99,54;5140,46;12,06;105252763,0;479981,0;1269209596,0;792;246906
