Policy;Simulation;Stock Cost;Order Total Cost;Total Cost;Stock Out Rate (%);Alpha Service Level (%);Beta Service Level (%);Average Inventory Level;Stock Coverage (days);Total Demand;Total Stockout;Total SOH;Stockout Days;Total Days
Reorder Level Policy;84;48291,89;115627631,58;115675923,47;6,99;97,35;93,01;2157,01;5,06;105252763,0;7352654,0;532579448,0;6554;246906
Reorder Level Policy;85;48089,25;115627631,58;115675720,83;6,9;97,36;93,1;2163,37;5,07;105252763,0;7267344,0;534148046,0;6511;246906
Reorder Level Policy;86;47322,92;115627631,58;115674954,5;6,9;97,39;93,1;2148,6;5,04;105252763,0;7267113,0;530503357,0;6443;246906
Reorder Level Policy;87;48049,47;115627631,58;115675681,05;6,95;97,39;93,05;2165,53;5,08;105252763,0;7310267,0;534683274,0;6454;246906
Reorder Level Policy;88;48464,62;115627631,58;115676096,2;7,06;97,36;92,94;2210,37;5,19;105252763,0;7425818,0;545754438,0;6519;246906
Reorder Level Policy;89;47236,46;115627631,58;115674868,04;6,88;97,37;93,12;2172,09;5,1;105252763,0;7240776,0;536302467,0;6496;246906
Reorder Level Policy;90;47303,92;115627631,58;115674935,5;6,91;97,38;93,09;2142,89;5,03;105252763,0;7270697,0;529091431,0;6469;246906
Reorder Level Policy;91;47968,76;115627631,58;115675600,34;7,03;97,39;92,97;2182,29;5,12;105252763,0;7401401,0;538820022,0;6439;246906
Reorder Level Policy;92;48046,44;115627631,58;115675678,02;7,11;97,34;92,89;2200,95;5,16;105252763,0;7481709,0;543427525,0;6561;246906
Reorder Level Policy;93;47628,5;115627631,58;115675260,08;7,05;97,35;92,95;2186,37;5,13;105252763,0;7418236,0;539828289,0;6545;246906
Reorder Level Policy;94;47181,78;115627631,58;115674813,36;6,92;97,33;93,08;2140,97;5,02;105252763,0;7280115,0;528619150,0;6587;246906
Reorder Level Policy;95;47620,88;115627631,58;115675252,46;7,02;97,34;92,98;2169,43;5,09;105252763,0;7386080,0;535644763,0;6562;246906
Reorder Level Policy;96;48485,19;115627631,58;115676116,77;7,02;97,39;92,98;2218,66;5,2;105252763,0;7386950,0;547800382,0;6445;246906
Reorder Level Policy;97;47445,21;115627631,58;115675076,79;7,07;97,37;92,93;2178,15;5,11;105252763,0;7442107,0;537798987,0;6488;246906
Reorder Level Policy;98;48235,72;115627631,58;115675867,3;7,03;97,29;92,97;2197,79;5,16;105252763,0;7395101,0;542648454,0;6691;246906
Reorder Level Policy;99;48361,65;115627631,58;115675993,23;7,09;97,38;92,91;2207,95;5,18;105252763,0;7467277,0;545155120,0;6463;246906
Reorder Level Policy;100;47566,05;115627631,58;115675197,63;7,07;97,39;92,93;2204,81;5,17;105252763,0;7439502,0;544381325,0;6447;246906
Order Cycle Policy;1;65351,97;123713630,23;123778982,2;1,82;99,07;98,18;3329,7;7,81;105252763,0;1911392,0;822121881,0;2285;246906
Order Cycle Policy;2;63991,44;123713630,23;123777621,67;1,84;99,09;98,16;3331,71;7,82;105252763,0;1938711,0;822618657,0;2254;246906
Order Cycle Policy;3;65016,36;123713630,23;123778646,59;1,89;99,05;98,11;3396,02;7,97;105252763,0;1984332,0;838498462,0;2344;246906
Order Cycle Policy;4;63550,71;123713630,23;123777180,94;1,71;99,06;98,29;3290,42;7,72;105252763,0;1803217,0;812425155,0;2311;246906
Order Cycle Policy;5;66637,65;123713630,23;123780267,88;2,05;99,09;97,95;3466,75;8,13;105252763,0;2156403,0;855962599,0;2242;246906
Order Cycle Policy;6;66130,5;123713630,23;123779760,73;1,91;99,1;98,09;3475,62;8,15;105252763,0;2009398,0;858151943,0;2226;246906
Order Cycle Policy;7;66012,55;123713630,23;123779642,78;1,92;99,04;98,08;3406,1;7,99;105252763,0;2018887,0;840986773,0;2358;246906
Order Cycle Policy;8;65123,49;123713630,23;123778753,72;1,94;99,08;98,06;3415,2;8,01;105252763,0;2036735,0;843234307,0;2263;246906
Order Cycle Policy;9;65503,84;123713630,23;123779134,07;1,96;99,08;98,04;3436,59;8,06;105252763,0;2067818,0;848515221,0;2270;246906
Order Cycle Policy;10;64668,64;123713630,23;123778298,87;1,69;99,09;98,31;3287,12;7,71;105252763,0;1778329,0;811608928,0;2250;246906
Order Cycle Policy;11;64614,12;123713630,23;123778244,35;1,82;99,1;98,18;3380,24;7,93;105252763,0;1910793,0;834601244,0;2218;246906
Order Cycle Policy;12;64497,92;123713630,23;123778128,15;1,79;99,08;98,21;3295,77;7,73;105252763,0;1885173,0;813745464,0;2277;246906
Order Cycle Policy;13;63977,8;123713630,23;123777608,03;1,74;99,09;98,26;3273,59;7,68;105252763,0;1831671,0;808268825,0;2257;246906
Order Cycle Policy;14;64181,88;123713630,23;123777812,11;1,93;99,1;98,07;3349,87;7,86;105252763,0;2029325,0;827102417,0;2224;246906
Order Cycle Policy;15;63879,08;123713630,23;123777509,31;1,66;99,09;98,34;3284,56;7,71;105252763,0;1750949,0;810977909,0;2254;246906
Order Cycle Policy;16;64295,7;123713630,23;123777925,93;1,91;99,1;98,09;3380,34;7,93;105252763,0;2012975,0;834625729,0;2218;246906
Order Cycle Policy;17;63615,64;123713630,23;123777245,87;1,8;99,09;98,2;3314,85;7,78;105252763,0;1896541,0;818456304,0;2240;246906
Order Cycle Policy;18;65623,65;123713630,23;123779253,88;1,77;99,07;98,23;3330,03;7,81;105252763,0;1865752,0;822204600,0;2287;246906
Order Cycle Policy;19;65813,3;123713630,23;123779443,54;1,99;99,06;98,01;3434,76;8,06;105252763,0;2093140,0;848062704,0;2329;246906
Order Cycle Policy;20;64864,16;123713630,23;123778494,39;1,89;99,1;98,11;3341,6;7,84;105252763,0;1986416,0;825062167,0;2229;246906
Order Cycle Policy;21;64308,68;123713630,23;123777938,91;1,81;99,07;98,19;3317,89;7,78;105252763,0;1906561,0;819207311,0;2301;246906
Order Cycle Policy;22;65024,03;123713630,23;123778654,26;2,05;99,09;97,95;3389,23;7,95;105252763,0;2160501,0;836820266,0;2255;246906
Order Cycle Policy;23;66625,79;123713630,23;123780256,02;1,94;99,11;98,06;3395,54;7,97;105252763,0;2039124,0;838378358,0;2188;246906
Order Cycle Policy;24;65814,03;123713630,23;123779444,26;1,88;99,1;98,12;3369,95;7,91;105252763,0;1982098,0;832061226,0;2220;246906
Order Cycle Policy;25;66012,94;123713630,23;123779643,17;1,96;99,07;98,04;3443,23;8,08;105252763,0;2061389,0;850154335,0;2305;246906
Order Cycle Policy;26;63768,38;123713630,23;123777398,61;1,84;99,09;98,16;3325,42;7,8;105252763,0;1936377,0;821065212,0;2252;246906
Order Cycle Policy;27;65009,51;123713630,23;123778639,74;1,89;99,13;98,11;3414,91;8,01;105252763,0;1984310,0;843160630,0;2145;246906
Order Cycle Policy;28;64539,12;123713630,23;123778169,35;1,75;99,09;98,25;3316,88;7,78;105252763,0;1837515,0;818957894,0;2254;246906
Order Cycle Policy;29;65244,87;123713630,23;123778875,1;1,78;99,09;98,22;3363,37;7,89;105252763,0;1874302,0;830436510,0;2235;246906
Order Cycle Policy;30;64968,69;123713630,23;123778598,92;1,88;99,09;98,12;3380,6;7,93;105252763,0;1979174,0;834691614,0;2240;246906
Order Cycle Policy;31;64160,72;123713630,23;123777790,95;1,97;99,07;98,03;3369,06;7,9;105252763,0;2069209,0;831841098,0;2301;246906
Order Cycle Policy;32;65525,98;123713630,23;123779156,21;1,94;99,08;98,06;3389,48;7,95;105252763,0;2039997,0;836882776,0;2277;246906
Order Cycle Policy;33;64333,84;123713630,23;123777964,07;1,77;99,09;98,23;3327,56;7,81;105252763,0;1863940,0;821594621,0;2249;246906
Order Cycle Policy;34;65906,01;123713630,23;123779536,24;1,87;99,06;98,13;3364,82;7,89;105252763,0;1972682,0;830793568,0;2322;246906
Order Cycle Policy;35;64114,08;123713630,23;123777744,31;1,86;99,06;98,14;3326,97;7,8;105252763,0;1957228,0;821448944,0;2309;246906
Order Cycle Policy;36;66205,27;123713630,23;123779835,5;1,87;99,11;98,13;3422,6;8,03;105252763,0;1964921,0;845061174,0;2209;246906
Order Cycle Policy;37;65454,19;123713630,23;123779084,42;1,95;99,09;98,05;3392,38;7,96;105252763,0;2050463,0;837598277,0;2255;246906
Order Cycle Policy;38;64469,4;123713630,23;123778099,63;1,84;99,08;98,16;3366,67;7,9;105252763,0;1937370,0;831252128,0;2278;246906
Order Cycle Policy;39;64415,16;123713630,23;123778045,39;1,83;99,07;98,17;3336,12;7,83;105252763,0;1930395,0;823708294,0;2302;246906
Order Cycle Policy;40;65144,69;123713630,23;123778774,92;1,88;99,08;98,12;3353,94;7,87;105252763,0;1983159,0;828107850,0;2261;246906
Order Cycle Policy;41;64932,46;123713630,23;123778562,69;1,78;99,09;98,22;3357,41;7,88;105252763,0;1876331,0;828964853,0;2242;246906
Order Cycle Policy;42;64860,24;123713630,23;123778490,47;1,8;99,06;98,2;3329,68;7,81;105252763,0;1890236,0;822117570,0;2330;246906
Order Cycle Policy;43;64992,3;123713630,23;123778622,53;1,99;99,07;98,01;3401,36;7,98;105252763,0;2098631,0;839815870,0;2293;246906
Order Cycle Policy;44;65902,98;123713630,23;123779533,21;2,0;99,07;98,0;3465,76;8,13;105252763,0;2108115,0;855717016,0;2305;246906
Order Cycle Policy;45;65437,4;123713630,23;123779067,63;1,93;99,1;98,07;3404,33;7,99;105252763,0;2028388,0;840548427,0;2218;246906
Order Cycle Policy;46;65201,06;123713630,23;123778831,29;2,05;99,07;97,95;3411,71;8,0;105252763,0;2159137,0;842372061,0;2290;246906
Order Cycle Policy;47;65125,54;123713630,23;123778755,77;1,85;99,12;98,15;3329,75;7,81;105252763,0;1948673,0;822136231,0;2177;246906
Order Cycle Policy;48;63991,15;123713630,23;123777621,38;1,78;99,09;98,22;3292,64;7,72;105252763,0;1872880,0;812972166,0;2235;246906
Order Cycle Policy;49;64991,65;123713630,23;123778621,88;1,82;99,07;98,18;3349,34;7,86;105252763,0;1917548,0;826972565,0;2298;246906
Order Cycle Policy;50;65327,16;123713630,23;123778957,39;1,87;99,07;98,13;3386,74;7,94;105252763,0;1965038,0;836205637,0;2300;246906
Order Cycle Policy;51;64556,29;123713630,23;123778186,52;1,76;99,1;98,24;3304,41;7,75;105252763,0;1857562,0;815879603,0;2225;246906
Order Cycle Policy;52;63952,92;123713630,23;123777583,15;1,82;99,1;98,18;3329,36;7,81;105252763,0;1916701,0;822038644,0;2227;246906
Order Cycle Policy;53;66198,13;123713630,23;123779828,37;1,93;99,08;98,07;3406,43;7,99;105252763,0;2029971,0;841068409,0;2275;246906
Order Cycle Policy;54;64987,78;123713630,23;123778618,01;1,9;99,07;98,1;3352,33;7,86;105252763,0;2001737,0;827709602,0;2298;246906
Order Cycle Policy;55;65752,42;123713630,23;123779382,65;1,88;99,07;98,12;3361,59;7,89;105252763,0;1983254,0;829997694,0;2307;246906
Order Cycle Policy;56;65154,35;123713630,23;123778784,58;1,88;99,09;98,12;3349,71;7,86;105252763,0;1973848,0;827063667,0;2239;246906
Order Cycle Policy;57;65640,21;123713630,23;123779270,44;1,89;99,06;98,11;3379,87;7,93;105252763,0;1991661,0;834510617,0;2322;246906
Order Cycle Policy;58;65461,09;123713630,23;123779091,32;1,89;99,07;98,11;3373,21;7,91;105252763,0;1985262,0;832866070,0;2305;246906
Order Cycle Policy;59;65219,66;123713630,23;123778849,89;1,83;99,08;98,17;3334,57;7,82;105252763,0;1923801,0;823324368,0;2274;246906
Order Cycle Policy;60;64500,23;123713630,23;123778130,46;1,74;99,09;98,26;3323,65;7,8;105252763,0;1833900,0;820629046,0;2249;246906
Order Cycle Policy;61;65716,83;123713630,23;123779347,06;1,8;99,1;98,2;3362,47;7,89;105252763,0;1893522,0;830215022,0;2234;246906
Order Cycle Policy;62;65024,8;123713630,23;123778655,03;1,86;99,12;98,14;3343,54;7,84;105252763,0;1958839,0;825541093,0;2169;246906
Order Cycle Policy;63;64822,98;123713630,23;123778453,21;1,81;99,13;98,19;3370,14;7,91;105252763,0;1907017,0;832108091,0;2154;246906
Order Cycle Policy;64;64940,34;123713630,23;123778570,57;1,8;99,07;98,2;3313,79;7,77;105252763,0;1896481,0;818194184,0;2285;246906
Order Cycle Policy;65;64692,79;123713630,23;123778323,02;1,83;99,09;98,17;3353,23;7,87;105252763,0;1922316,0;827933568,0;2249;246906
Order Cycle Policy;66;64942,43;123713630,23;123778572,66;1,85;99,1;98,15;3351,73;7,86;105252763,0;1947032,0;827562587,0;2234;246906
Order Cycle Policy;67;65625,45;123713630,23;123779255,68;1,76;99,05;98,24;3340,21;7,84;105252763,0;1856992,0;824718034,0;2340;246906
Order Cycle Policy;68;65607,08;123713630,23;123779237,31;1,88;99,09;98,12;3406,23;7,99;105252763,0;1974515,0;841019329,0;2239;246906
Order Cycle Policy;69;66160,46;123713630,23;123779790,69;2,03;99,08;97,97;3438,02;8,07;105252763,0;2136559,0;848868308,0;2270;246906
Order Cycle Policy;70;65095,59;123713630,23;123778725,82;1,72;99,1;98,28;3332,73;7,82;105252763,0;1811856,0;822870435,0;2223;246906
Order Cycle Policy;71;65330,36;123713630,23;123778960,59;1,87;99,1;98,13;3371,27;7,91;105252763,0;1969753,0;832386875,0;2233;246906
Order Cycle Policy;72;65470,51;123713630,23;123779100,74;1,91;99,07;98,09;3383,86;7,94;105252763,0;2006819,0;835495355,0;2290;246906
Order Cycle Policy;73;65318,61;123713630,23;123778948,84;1,85;99,1;98,15;3362,92;7,89;105252763,0;1943185,0;830324042,0;2226;246906
Order Cycle Policy;74;65209,14;123713630,23;123778839,37;1,88;99,06;98,12;3365,28;7,89;105252763,0;1974855,0;830908348,0;2322;246906
Order Cycle Policy;75;65739,26;123713630,23;123779369,49;1,87;99,09;98,13;3373,94;7,91;105252763,0;1965004,0;833046513,0;2236;246906
Order Cycle Policy;76;67322,09;123713630,23;123780952,32;1,99;99,05;98,01;3453,25;8,1;105252763,0;2099718,0;852629087,0;2349;246906
Order Cycle Policy;77;65951,65;123713630,23;123779581,88;1,93;99,1;98,07;3441,99;8,07;105252763,0;2029807,0;849849075,0;2229;246906
Order Cycle Policy;78;64516,31;123713630,23;123778146,54;1,81;99,09;98,19;3306,87;7,76;105252763,0;1903633,0;816486309,0;2253;246906
Order Cycle Policy;79;66025,95;123713630,23;123779656,18;2,11;99,09;97,89;3465,77;8,13;105252763,0;2225316,0;855718300,0;2237;246906
Order Cycle Policy;80;66295,69;123713630,23;123779925,92;1,98;99,09;98,02;3419,73;8,02;105252763,0;2088201,0;844350704,0;2237;246906
Order Cycle Policy;81;65013,9;123713630,23;123778644,13;1,85;99,08;98,15;3353,43;7,87;105252763,0;1949224,0;827981792,0;2279;246906
Order Cycle Policy;82;64704,95;123713630,23;123778335,18;1,89;99,12;98,11;3378,45;7,93;105252763,0;1993966,0;834159165,0;2178;246906
Order Cycle Policy;83;65280,04;123713630,23;123778910,27;1,94;99,08;98,06;3389,17;7,95;105252763,0;2042403,0;836805364,0;2272;246906
Order Cycle Policy;84;64209,86;123713630,23;123777840,09;1,77;99,07;98,23;3306,17;7,76;105252763,0;1863526,0;816313257,0;2288;246906
Order Cycle Policy;85;65259,29;123713630,23;123778889,52;1,87;99,07;98,13;3373,33;7,91;105252763,0;1971181,0;832894377,0;2288;246906
Order Cycle Policy;86;65780,6;123713630,23;123779410,83;2,13;99,07;97,87;3436,42;8,06;105252763,0;2236665,0;848471782,0;2294;246906
Order Cycle Policy;87;64165,23;123713630,23;123777795,46;1,83;99,06;98,17;3298,64;7,74;105252763,0;1928582,0;814454372,0;2309;246906
Order Cycle Policy;88;65000,95;123713630,23;123778631,18;1,98;99,08;98,02;3444,23;8,08;105252763,0;2084961,0;850400459,0;2263;246906
Order Cycle Policy;89;65825,02;123713630,23;123779455,25;1,9;99,08;98,1;3423,06;8,03;105252763,0;1999341,0;845174595,0;2269;246906
Order Cycle Policy;90;63973,36;123713630,23;123777603,59;1,82;99,1;98,18;3328,56;7,81;105252763,0;1913888,0;821840793,0;2231;246906
Order Cycle Policy;91;66790,96;123713630,23;123780421,19;1,96;99,08;98,04;3440,0;8,07;105252763,0;2065763,0;849356929,0;2283;246906
Order Cycle Policy;92;65015,03;123713630,23;123778645,26;1,98;99,13;98,02;3378,52;7,93;105252763,0;2087437,0;834176359,0;2146;246906
Order Cycle Policy;93;65697,35;123713630,23;123779327,58;1,9;99,07;98,1;3375,94;7,92;105252763,0;1999659,0;833538997,0;2299;246906
Order Cycle Policy;94;65089,95;123713630,23;123778720,18;1,89;99,06;98,11;3374,89;7,92;105252763,0;1985875,0;833279570,0;2330;246906
Order Cycle Policy;95;65276,5;123713630,23;123778906,74;1,86;99,08;98,14;3350,57;7,86;105252763,0;1956219,0;827276916,0;2265;246906
Order Cycle Policy;96;66206,11;123713630,23;123779836,34;1,98;99,12;98,02;3431,22;8,05;105252763,0;2079904,0;847189373,0;2176;246906
Order Cycle Policy;97;66655,03;123713630,23;123780285,26;2,1;99,11;97,9;3438,73;8,07;105252763,0;2214605,0;849043195,0;2208;246906
Order Cycle Policy;98;65535,23;123713630,23;123779165,46;1,96;99,06;98,04;3412,8;8,01;105252763,0;2062518,0;842641462,0;2312;246906
Order Cycle Policy;99;64597,75;123713630,23;123778227,98;1,77;99,09;98,23;3333,8;7,82;105252763,0;1865935,0;823134170,0;2251;246906
Order Cycle Policy;100;65796,13;123713630,23;123779426,37;1,74;99,08;98,26;3348,27;7,85;105252763,0;1836042,0;826706735,0;2275;246906
