sku,MAE,RMSE,MAPE (%),wMAPE (%),Bias,Hit Dir. (%),Max Overflow,Max Shortfall,Final Drift,Avg Actual,Avg Predicted,Max Actual,Days
AUWH84BKO,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
BBUJ93WJZ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
BCHT27JVP,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
BCNH88IBI,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
BEEI36VXR,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
BEFL57DYC,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
BENB46VAC,0.0,0.0,,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,220
BGYQ17CFB,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
BHEW98UCM,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
BLAN57CAX,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
BLJX96AOH,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
BUDA47TXJ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
BVRY03ZHR,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
BWYV65LHJ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
BXHL26TXS,0.0,0.0,,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,220
BXRA54ORX,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
BZCV72FPK,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
BZFN90EES,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
BZMA97BJT,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
CCBZ39QJK,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
CDOQ87GOU,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
CDXO65FXQ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
CNGI76ZQO,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
COQI77DSY,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
CUDR54PDX,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
CUXM25EQJ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
CWEP97MXA,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
CWTL41INM,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
CWZB67TCM,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
DCEY17LUV,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
DEMF64CDF,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
DGBL53DSI,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
DHST71PWH,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
DKCG33YEH,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
DNIU00UNQ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
