sku,MAE,RMSE,MAPE (%),wMAPE (%),Bias,Hit Dir. (%),Max Overflow,Max Shortfall,Final Drift,Avg Actual,Avg Predicted,Max Actual,Days
OJXK50SNH,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
OMCC98NWJ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
ONDQ73VGV,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
OPBY35UDC,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
OPCV70SBB,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
OQMP36SZY,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
OQMS30XDQ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
OSNB63SBC,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
OTZO03RBT,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
OVAM38ISQ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
OWUW47DKW,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
OZZB01PSX,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
PDIX55XQL,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
PDNC93QZX,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
PDXC07MKW,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
PELL50QMH,0.33,2.31,,,0.33,0.9,72.9,22.6,72.9,0.0,0.3,0,220
PKVB61MDC,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
PNZO55AKP,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
PRMB65FGK,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
PUZS07JXI,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
PYWS12UEV,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
PZZL85UKA,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
QALI50ATO,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
QBYP02EVB,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
QDOR17AAT,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
QEAH52YRJ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
QECI82EPB,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
QHHN18OGQ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
QHIK08UGM,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
QHWI54UJB,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
QJKV00DRB,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
QPTA16UYD,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
QRNT66BZL,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
QWQS34QRI,0.0,0.04,,,0.0,0.5,0.6,0.5,0.6,0.0,0.0,0,220
QXWU28MSF,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
RHME26JBG,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
RPHR15PDA,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
RPJB67TFY,0.0,0.01,,,0.0,1.4,0.1,0.0,0.1,0.0,0.0,0,220
RRDT17BWF,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
RRII65PIA,0.47,3.13,,,0.47,0.9,103.3,30.0,103.3,0.0,0.5,0,220
RTOI71WKK,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
RUPO30HVP,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
RUQB62LDS,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
RXUD74XWP,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
RZXA14BCK,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
SBUP43KSU,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
SCBL70GBB,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
SGZN87LAN,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
SIXH86ICD,0.05,0.37,,,0.05,1.4,10.4,1.3,10.4,0.0,0.0,0,220
SLJE79ANB,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
SLPA08RTP,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
SMGI22MHG,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
SNRS36JMQ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
SPBP75VDB,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
SSKA10JCR,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
STFF13RLU,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
SVZC75YYO,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
SXEU62NVW,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
TBDA82OML,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
TBDL94JKD,0.0,0.01,,,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0,220
TCYO55ZSW,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
TCZJ59SXU,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
TLPU30VMM,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
TMWW89FLX,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
TNBI55ODE,0.0,0.0,,,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0,220
TOVE69MCH,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
TWCE30FJR,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
TWOP96WMI,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
TXVF10UYC,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
UERC46RUI,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
UFRH97ELM,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
UJFD91CCC,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
UJKX78GJV,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
UNVB33DUR,0.05,0.5,,,0.05,1.4,11.3,0.6,11.3,0.0,0.1,0,220
UOQN06MHI,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
UUMV91EFQ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
UXLK68YJI,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
UYTA24QUZ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
UZDG75WXS,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
UZJM47OYQ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
VBLG19VRE,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
VEBJ57HWJ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
VFCB71ZSL,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
VGSN36KLM,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
VORK56KBM,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
VORX09CFE,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
VPAN00UPZ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
VPUZ48QJF,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
VRFH38UPJ,0.0,0.0,,,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0,220
VULY73SQG,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
VUQJ93VXS,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
VUXG84BHS,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
VVHW53KAI,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
WBWE74PIC,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
WEWG31HSL,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
WFDB28ENG,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
WFPH97CAL,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
WGBH23QUS,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
WIJP16LEW,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
WJHJ07ILU,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
WJWT12ACJ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
WLUP48JLX,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
WPRV95GCZ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
WRBF82ENB,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
WSDF44CJS,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
WUDK16BZN,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
WZMK55WHZ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
WZVM17KLN,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
XBUS70ZFB,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
XBVG07WGH,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
XMZB73QSV,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
XPFT66XNU,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
XPJY64NRS,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
XSER71OVY,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
XXHV29JMU,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
XZDF86GGS,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YCFO57KSH,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YFFI88QUP,0.05,0.78,,,0.05,2.3,11.9,11.6,11.9,0.0,0.1,0,220
YHSM86SIR,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YJAJ12XTJ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YKDX66IVQ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YLBF73RIA,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YMQN82KHE,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YOCN54PBX,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YPUI95ADY,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YQCL03WMX,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YRES66MLL,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YRJF45FQE,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YRJM78BGN,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YSWY49TRF,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YTRS74MWK,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YUGC71DSW,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YXNW13JGV,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YYJN47OBL,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YYLI62QVP,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
YZIG41ETS,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
ZBDR61OMW,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
ZIUS60GQL,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
ZJWE63JUD,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
ZKBM49VEN,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
ZPPI66LHR,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
ZSJV86SBY,0.0,0.02,,,0.0,0.0,0.6,0.2,0.6,0.0,0.0,0,220
ZUBA90DBF,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
ZVAH15YCE,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
ZWKE87CMG,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
ZWXN36YKD,0.5,6.15,,,0.5,3.6,110.1,89.7,110.1,0.0,0.5,0,220
ZYVP60CLC,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
