KPI;Mean;Std Dev;Min;P05;P50;P95;Max
Stock_Cost;57208,36;199,16;56675,3;56856,38;57227,66;57508,39;57654,24
Order_Cost;127391570,19;132073,33;127045977,36;127169953,67;127388100,94;127629559,35;127669302,07
Stockout_Rate;0,7;0,01;0,69;0,7;0,7;0,71;0,72
Alpha_Service_Level;99,66;0,01;99,64;99,65;99,66;99,67;99,68
Beta_Service_Level;99,3;0,01;99,28;99,29;99,3;99,3;99,31
Average_Inventory_Level;2746,39;11,5;2721,04;2730,36;2747,24;2764,96;2772,73
Stock_Coverage_Days;46,15;0,17;45,71;45,87;46,14;46,39;46,94
